,Date,Corona cases,Steam users
707,2021-12-10,268773374,25397387.0
708,2021-12-11,269437439,27053023.0
709,2021-12-12,270043686,27029604.0
710,2021-12-13,270526581,24381880.0
711,2021-12-14,270988783,24331452.0
712,2021-12-15,271759226,24083744.0
713,2021-12-16,272490034,23765464.0
714,2021-12-17,273265790,24598216.0
715,2021-12-18,274005145,26302311.0
716,2021-12-19,274692374,26404884.0
717,2021-12-20,275229961,24891872.0
718,2021-12-21,275778064,24914121.0
719,2021-12-22,276705375,24876616.0
720,2021-12-23,277639540,25740780.0
721,2021-12-24,278655150,25858112.0
722,2021-12-25,279686371,25705093.0
723,2021-12-26,280615940,26639645.0
724,2021-12-27,281206288,26421415.0
725,2021-12-28,282032706,26586661.0
726,2021-12-29,283601555,26511527.0
727,2021-12-30,285239101,26452310.0
728,2021-12-31,287112440,26350065.0
729,2022-01-01,289088104,26363807.0
730,2022-01-02,290732921,27942036.0
731,2022-01-03,291889921,27060037.0
732,2022-01-04,293345015,27065244.0
733,2022-01-05,295979883,27067919.0
734,2022-01-06,298755606,26504301.0
735,2022-01-07,301477510,27139876.0
736,2022-01-08,304120046,27926700.0
737,2022-01-09,306869910,28230853.0
